n1,n2,weight
12,19,-1.3800e-01
12,20,2.4028e-01
13,1,-1.9251e-01
13,2,-2.9245e-01
13,3,-8.5675e-01
13,4,-6.6367e-01
13,5,7.5134e-01
13,6,2.0901e-01
13,7,-6.2297e-01
13,8,-3.8071e-01
13,9,-1.8159e+00
13,10,3.9109e-01
13,11,-1.5795e+00
13,12,-1.3032e+00
13,14,1.5048e-01
13,15,-6.0787e-01
13,16,1.3296e-01
13,17,3.2454e-01
13,18,-6.7990e-01
13,19,2.5310e-01
13,20,-1.1552e+00
14,1,-1.3026e+00
14,2,-2.2182e+00
14,3,1.7221e-01
14,4,4.1921e-01
14,5,1.3938e-01
14,6,-1.2377e+00
14,7,-1.8717e+00
14,8,-7.1487e-01
14,9,-1.4689e-01
14,10,-1.4613e+00
14,11,-1.2158e+00
14,12,-3.0013e-02
14,13,1.9860e+00
14,15,-7.1703e-01
14,16,1.2021e+00
14,17,-3.8109e-01
14,18,1.3733e+00
14,19,7.5368e-01
14,20,-8.0722e-01
15,1,-7.3144e-01
15,2,-5.4572e-01
15,3,-1.5194e+00
15,4,-1.2827e+00
15,5,-1.9191e+00
15,6,3.7894e-01
15,7,-1.7630e+00
15,8,-7.7800e-01
15,9,-1.2491e+00
15,10,-1.3835e+00
15,11,-6.5231e-03
15,12,-1.0235e+00
15,13,-3.2215e-01
15,14,-1.2850e+00
15,16,2.0504e-01
15,17,-1.8697e-01
15,18,-7.7005e-01
15,19,2.4289e-01
15,20,2.8152e-01
16,1,-1.2861e+00
16,2,-2.3584e+00
16,3,-2.2862e-01
16,4,-1.6575e+00
16,5,-1.4968e+00
16,6,2.3902e-01
16,7,-1.9276e+00
16,8,-6.6494e-01
16,9,-1.4524e+00
16,10,3.2132e-01
16,11,2.1343e-01
16,12,-7.2981e-01
16,13,-8.6674e-01
16,14,-1.7913e+00
16,15,-2.4523e+00
16,17,-9.3101e-01
16,18,-2.1488e+00
16,19,1.0722e+00
16,20,-1.3088e+00
17,1,-2.1375e+00
17,2,-3.3625e+00
17,3,-2.4009e+00
17,4,-7.6814e-01
17,5,-1.1177e+00
17,6,-3.8381e-01
17,7,-4.8846e-01
17,8,-1.7225e+00
17,9,-1.0739e+00
17,10,-2.3268e-01
17,11,1.6917e-01
17,12,-2.1581e+00
17,13,2.9032e-01
17,14,-1.8415e+00
17,15,4.7988e-02
17,16,4.6990e-01
17,18,1.0304e-01
17,19,8.2705e-01
17,20,-1.2050e+00
18,1,-2.1047e+00
18,2,-8.4161e-01
18,3,-1.0893e+00
18,4,-4.2501e-01
18,5,-1.8312e+00
18,6,-1.6275e+00
18,7,7.0031e-02
18,8,-9.9121e-01
18,9,-4.9987e-01
18,10,-6.5938e-01
18,11,-7.0007e-01
18,12,-1.0722e-01
18,13,-1.0299e+00
18,14,1.8342e-02
18,15,-1.1517e+00
18,16,1.2566e+00
18,17,-6.7364e-01
18,19,-4.7919e-01
18,20,-1.1654e-01
19,1,-7.4798e-01
19,2,-1.5892e+00
19,3,-7.4017e-01
19,4,-1.4563e+00
19,5,-7.8064e-01
19,6,-1.1907e+00
19,7,-2.6817e+00
19,8,-1.8143e+00
19,9,-1.3112e+00
19,10,-1.0027e-01
19,11,-1.0151e+00
19,12,-1.5956e-01
19,13,-8.7742e-01
19,14,-9.8442e-01
19,15,9.0210e-02
19,16,-1.0704e+00
19,17,-2.2148e+00
19,18,-9.5308e-01
19,20,9.9031e-02
20,1,-1.5156e+00
20,2,-1.0660e+00
20,3,-1.6113e+00
20,4,-1.2982e+00
20,5,-7.0976e-01
20,6,-1.3972e+00
20,7,-1.4644e-01
20,8,1.0025e+00
20,9,1.2798e-01
20,10,-1.2860e+00
20,11,-1.1531e+00
20,12,-1.1858e+00
20,13,-7.2728e-01
20,14,6.9802e-01
20,15,-1.3435e+00
20,16,-1.9120e-01
20,17,-5.7331e-01
20,18,-4.8583e-01
20,19,-2.3073e+00
