i,j,fij
1,2,0
1,3,-2
1,4,-2
1,5,-7
1,6,-4
1,7,0
1,8,-6
1,9,-6
1,10,-5
1,11,-8
1,12,-6
1,13,-9
1,14,-4
1,15,-6
1,16,-5
1,17,-6
1,18,-6
1,19,-5
1,20,-9
2,3,-2
2,4,-2
2,5,-7
2,6,-4
2,7,0
2,8,-6
2,9,-6
2,10,-5
2,11,-8
2,12,-6
2,13,-9
2,14,-4
2,15,-6
2,16,-5
2,17,-6
2,18,-6
2,19,-5
2,20,-9
3,4,0
3,5,-5
3,6,-2
3,7,2
3,8,-4
3,9,-4
3,10,-3
3,11,-6
3,12,-4
3,13,-7
3,14,-2
3,15,-4
3,16,-3
3,17,-4
3,18,-4
3,19,-3
3,20,-7
4,5,-5
4,6,-2
4,7,2
4,8,-4
4,9,-4
4,10,-3
4,11,-6
4,12,-4
4,13,-7
4,14,-2
4,15,-4
4,16,-3
4,17,-4
4,18,-4
4,19,-3
4,20,-7
5,6,3
5,7,7
5,8,1
5,9,1
5,10,2
5,11,-1
5,12,1
5,13,-2
5,14,3
5,15,1
5,16,2
5,17,1
5,18,1
5,19,2
5,20,-2
6,7,4
6,8,-2
6,9,-2
6,10,-1
6,11,-4
6,12,-2
6,13,-5
6,14,0
6,15,-2
6,16,-1
6,17,-2
6,18,-2
6,19,-1
6,20,-5
7,8,-6
7,9,-6
7,10,-5
7,11,-8
7,12,-6
7,13,-9
7,14,-4
7,15,-6
7,16,-5
7,17,-6
7,18,-6
7,19,-5
7,20,-9
8,9,0
8,10,1
8,11,-2
8,12,0
8,13,-3
8,14,2
8,15,0
8,16,1
8,17,0
8,18,0
8,19,1
8,20,-3
9,10,1
9,11,-2
9,12,0
9,13,-3
9,14,2
9,15,0
9,16,1
9,17,0
9,18,0
9,19,1
9,20,-3
10,11,-3
10,12,-1
10,13,-4
10,14,1
10,15,-1
10,16,0
10,17,-1
10,18,-1
10,19,0
10,20,-4
11,12,2
11,13,-1
11,14,4
11,15,2
11,16,3
11,17,2
11,18,2
11,19,3
11,20,-1
12,13,-3
12,14,2
12,15,0
12,16,1
12,17,0
12,18,0
12,19,1
12,20,-3
13,14,5
13,15,3
13,16,4
13,17,3
13,18,3
13,19,4
13,20,0
14,15,-2
14,16,-1
14,17,-2
14,18,-2
14,19,-1
14,20,-5
15,16,1
15,17,0
15,18,0
15,19,1
15,20,-3
16,17,-1
16,18,-1
16,19,0
16,20,-4
17,18,0
17,19,1
17,20,-3
18,19,1
18,20,-3
19,20,-4
