i,j,fij
1,2,-13
1,3,-11
1,4,-12
1,5,-28
1,6,-33
1,7,-33
1,8,-25
1,9,-22
1,10,-28
1,11,-31
1,12,-27
1,13,-34
1,14,-34
1,15,-34
1,16,-32
1,17,-29
1,18,-36
1,19,-35
1,20,-41
2,3,2
2,4,1
2,5,-15
2,6,-20
2,7,-20
2,8,-12
2,9,-9
2,10,-15
2,11,-18
2,12,-14
2,13,-21
2,14,-21
2,15,-21
2,16,-19
2,17,-16
2,18,-23
2,19,-22
2,20,-28
3,4,-1
3,5,-17
3,6,-22
3,7,-22
3,8,-14
3,9,-11
3,10,-17
3,11,-20
3,12,-16
3,13,-23
3,14,-23
3,15,-23
3,16,-21
3,17,-18
3,18,-25
3,19,-24
3,20,-30
4,5,-16
4,6,-21
4,7,-21
4,8,-13
4,9,-10
4,10,-16
4,11,-19
4,12,-15
4,13,-22
4,14,-22
4,15,-22
4,16,-20
4,17,-17
4,18,-24
4,19,-23
4,20,-29
5,6,-5
5,7,-5
5,8,3
5,9,6
5,10,0
5,11,-3
5,12,1
5,13,-6
5,14,-6
5,15,-6
5,16,-4
5,17,-1
5,18,-8
5,19,-7
5,20,-13
6,7,0
6,8,8
6,9,11
6,10,5
6,11,2
6,12,6
6,13,-1
6,14,-1
6,15,-1
6,16,1
6,17,4
6,18,-3
6,19,-2
6,20,-8
7,8,8
7,9,11
7,10,5
7,11,2
7,12,6
7,13,-1
7,14,-1
7,15,-1
7,16,1
7,17,4
7,18,-3
7,19,-2
7,20,-8
8,9,3
8,10,-3
8,11,-6
8,12,-2
8,13,-9
8,14,-9
8,15,-9
8,16,-7
8,17,-4
8,18,-11
8,19,-10
8,20,-16
9,10,-6
9,11,-9
9,12,-5
9,13,-12
9,14,-12
9,15,-12
9,16,-10
9,17,-7
9,18,-14
9,19,-13
9,20,-19
10,11,-3
10,12,1
10,13,-6
10,14,-6
10,15,-6
10,16,-4
10,17,-1
10,18,-8
10,19,-7
10,20,-13
11,12,4
11,13,-3
11,14,-3
11,15,-3
11,16,-1
11,17,2
11,18,-5
11,19,-4
11,20,-10
12,13,-7
12,14,-7
12,15,-7
12,16,-5
12,17,-2
12,18,-9
12,19,-8
12,20,-14
13,14,0
13,15,0
13,16,2
13,17,5
13,18,-2
13,19,-1
13,20,-7
14,15,0
14,16,2
14,17,5
14,18,-2
14,19,-1
14,20,-7
15,16,2
15,17,5
15,18,-2
15,19,-1
15,20,-7
16,17,3
16,18,-4
16,19,-3
16,20,-9
17,18,-7
17,19,-6
17,20,-12
18,19,1
18,20,-5
19,20,-6
