i,j,fij
1,2,-18
1,3,-17
1,4,-19
1,5,-38
1,6,-43
1,7,-40
1,8,-41
1,9,-46
1,10,-43
1,11,-47
1,12,-46
1,13,-50
1,14,-51
1,15,-57
1,16,-57
1,17,-55
1,18,-58
1,19,-60
1,20,-66
2,3,1
2,4,-1
2,5,-20
2,6,-25
2,7,-22
2,8,-23
2,9,-28
2,10,-25
2,11,-29
2,12,-28
2,13,-32
2,14,-33
2,15,-39
2,16,-39
2,17,-37
2,18,-40
2,19,-42
2,20,-48
3,4,-2
3,5,-21
3,6,-26
3,7,-23
3,8,-24
3,9,-29
3,10,-26
3,11,-30
3,12,-29
3,13,-33
3,14,-34
3,15,-40
3,16,-40
3,17,-38
3,18,-41
3,19,-43
3,20,-49
4,5,-19
4,6,-24
4,7,-21
4,8,-22
4,9,-27
4,10,-24
4,11,-28
4,12,-27
4,13,-31
4,14,-32
4,15,-38
4,16,-38
4,17,-36
4,18,-39
4,19,-41
4,20,-47
5,6,-5
5,7,-2
5,8,-3
5,9,-8
5,10,-5
5,11,-9
5,12,-8
5,13,-12
5,14,-13
5,15,-19
5,16,-19
5,17,-17
5,18,-20
5,19,-22
5,20,-28
6,7,3
6,8,2
6,9,-3
6,10,0
6,11,-4
6,12,-3
6,13,-7
6,14,-8
6,15,-14
6,16,-14
6,17,-12
6,18,-15
6,19,-17
6,20,-23
7,8,-1
7,9,-6
7,10,-3
7,11,-7
7,12,-6
7,13,-10
7,14,-11
7,15,-17
7,16,-17
7,17,-15
7,18,-18
7,19,-20
7,20,-26
8,9,-5
8,10,-2
8,11,-6
8,12,-5
8,13,-9
8,14,-10
8,15,-16
8,16,-16
8,17,-14
8,18,-17
8,19,-19
8,20,-25
9,10,3
9,11,-1
9,12,0
9,13,-4
9,14,-5
9,15,-11
9,16,-11
9,17,-9
9,18,-12
9,19,-14
9,20,-20
10,11,-4
10,12,-3
10,13,-7
10,14,-8
10,15,-14
10,16,-14
10,17,-12
10,18,-15
10,19,-17
10,20,-23
11,12,1
11,13,-3
11,14,-4
11,15,-10
11,16,-10
11,17,-8
11,18,-11
11,19,-13
11,20,-19
12,13,-4
12,14,-5
12,15,-11
12,16,-11
12,17,-9
12,18,-12
12,19,-14
12,20,-20
13,14,-1
13,15,-7
13,16,-7
13,17,-5
13,18,-8
13,19,-10
13,20,-16
14,15,-6
14,16,-6
14,17,-4
14,18,-7
14,19,-9
14,20,-15
15,16,0
15,17,2
15,18,-1
15,19,-3
15,20,-9
16,17,2
16,18,-1
16,19,-3
16,20,-9
17,18,-3
17,19,-5
17,20,-11
18,19,-2
18,20,-8
19,20,-6
