i,j,fij
1,2,-12
1,3,-14
1,4,-10
1,5,-31
1,6,-30
1,7,-32
1,8,-28
1,9,-25
1,10,-28
1,11,-34
1,12,-30
1,13,-37
1,14,-37
1,15,-37
1,16,-35
1,17,-32
1,18,-36
1,19,-38
1,20,-44
2,3,-2
2,4,2
2,5,-19
2,6,-18
2,7,-20
2,8,-16
2,9,-13
2,10,-16
2,11,-22
2,12,-18
2,13,-25
2,14,-25
2,15,-25
2,16,-23
2,17,-20
2,18,-24
2,19,-26
2,20,-32
3,4,4
3,5,-17
3,6,-16
3,7,-18
3,8,-14
3,9,-11
3,10,-14
3,11,-20
3,12,-16
3,13,-23
3,14,-23
3,15,-23
3,16,-21
3,17,-18
3,18,-22
3,19,-24
3,20,-30
4,5,-21
4,6,-20
4,7,-22
4,8,-18
4,9,-15
4,10,-18
4,11,-24
4,12,-20
4,13,-27
4,14,-27
4,15,-27
4,16,-25
4,17,-22
4,18,-26
4,19,-28
4,20,-34
5,6,1
5,7,-1
5,8,3
5,9,6
5,10,3
5,11,-3
5,12,1
5,13,-6
5,14,-6
5,15,-6
5,16,-4
5,17,-1
5,18,-5
5,19,-7
5,20,-13
6,7,-2
6,8,2
6,9,5
6,10,2
6,11,-4
6,12,0
6,13,-7
6,14,-7
6,15,-7
6,16,-5
6,17,-2
6,18,-6
6,19,-8
6,20,-14
7,8,4
7,9,7
7,10,4
7,11,-2
7,12,2
7,13,-5
7,14,-5
7,15,-5
7,16,-3
7,17,0
7,18,-4
7,19,-6
7,20,-12
8,9,3
8,10,0
8,11,-6
8,12,-2
8,13,-9
8,14,-9
8,15,-9
8,16,-7
8,17,-4
8,18,-8
8,19,-10
8,20,-16
9,10,-3
9,11,-9
9,12,-5
9,13,-12
9,14,-12
9,15,-12
9,16,-10
9,17,-7
9,18,-11
9,19,-13
9,20,-19
10,11,-6
10,12,-2
10,13,-9
10,14,-9
10,15,-9
10,16,-7
10,17,-4
10,18,-8
10,19,-10
10,20,-16
11,12,4
11,13,-3
11,14,-3
11,15,-3
11,16,-1
11,17,2
11,18,-2
11,19,-4
11,20,-10
12,13,-7
12,14,-7
12,15,-7
12,16,-5
12,17,-2
12,18,-6
12,19,-8
12,20,-14
13,14,0
13,15,0
13,16,2
13,17,5
13,18,1
13,19,-1
13,20,-7
14,15,0
14,16,2
14,17,5
14,18,1
14,19,-1
14,20,-7
15,16,2
15,17,5
15,18,1
15,19,-1
15,20,-7
16,17,3
16,18,-1
16,19,-3
16,20,-9
17,18,-4
17,19,-6
17,20,-12
18,19,-2
18,20,-8
19,20,-6
