i,j,fij
1,2,-3
1,3,-4
1,4,-8
1,5,-10
1,6,-6
1,7,-5
1,8,-9
1,9,-8
1,10,-11
1,11,-11
1,12,-9
1,13,-9
1,14,-8
1,15,-10
1,16,-11
1,17,-6
1,18,-8
1,19,-10
1,20,-15
2,3,-1
2,4,-5
2,5,-7
2,6,-3
2,7,-2
2,8,-6
2,9,-5
2,10,-8
2,11,-8
2,12,-6
2,13,-6
2,14,-5
2,15,-7
2,16,-8
2,17,-3
2,18,-5
2,19,-7
2,20,-12
3,4,-4
3,5,-6
3,6,-2
3,7,-1
3,8,-5
3,9,-4
3,10,-7
3,11,-7
3,12,-5
3,13,-5
3,14,-4
3,15,-6
3,16,-7
3,17,-2
3,18,-4
3,19,-6
3,20,-11
4,5,-2
4,6,2
4,7,3
4,8,-1
4,9,0
4,10,-3
4,11,-3
4,12,-1
4,13,-1
4,14,0
4,15,-2
4,16,-3
4,17,2
4,18,0
4,19,-2
4,20,-7
5,6,4
5,7,5
5,8,1
5,9,2
5,10,-1
5,11,-1
5,12,1
5,13,1
5,14,2
5,15,0
5,16,-1
5,17,4
5,18,2
5,19,0
5,20,-5
6,7,1
6,8,-3
6,9,-2
6,10,-5
6,11,-5
6,12,-3
6,13,-3
6,14,-2
6,15,-4
6,16,-5
6,17,0
6,18,-2
6,19,-4
6,20,-9
7,8,-4
7,9,-3
7,10,-6
7,11,-6
7,12,-4
7,13,-4
7,14,-3
7,15,-5
7,16,-6
7,17,-1
7,18,-3
7,19,-5
7,20,-10
8,9,1
8,10,-2
8,11,-2
8,12,0
8,13,0
8,14,1
8,15,-1
8,16,-2
8,17,3
8,18,1
8,19,-1
8,20,-6
9,10,-3
9,11,-3
9,12,-1
9,13,-1
9,14,0
9,15,-2
9,16,-3
9,17,2
9,18,0
9,19,-2
9,20,-7
10,11,0
10,12,2
10,13,2
10,14,3
10,15,1
10,16,0
10,17,5
10,18,3
10,19,1
10,20,-4
11,12,2
11,13,2
11,14,3
11,15,1
11,16,0
11,17,5
11,18,3
11,19,1
11,20,-4
12,13,0
12,14,1
12,15,-1
12,16,-2
12,17,3
12,18,1
12,19,-1
12,20,-6
13,14,1
13,15,-1
13,16,-2
13,17,3
13,18,1
13,19,-1
13,20,-6
14,15,-2
14,16,-3
14,17,2
14,18,0
14,19,-2
14,20,-7
15,16,-1
15,17,4
15,18,2
15,19,0
15,20,-5
16,17,5
16,18,3
16,19,1
16,20,-4
17,18,-2
17,19,-4
17,20,-9
18,19,-2
18,20,-7
19,20,-5
