i,j,fij
1,2,-4
1,3,-7
1,4,-8
1,5,-14
1,6,-13
1,7,-11
1,8,-19
1,9,-9
1,10,-14
1,11,-17
1,12,-15
1,13,-19
1,14,-16
1,15,-23
1,16,-19
1,17,-11
1,18,-14
1,19,-17
1,20,-26
2,3,-3
2,4,-4
2,5,-10
2,6,-9
2,7,-7
2,8,-15
2,9,-5
2,10,-10
2,11,-13
2,12,-11
2,13,-15
2,14,-12
2,15,-19
2,16,-15
2,17,-7
2,18,-10
2,19,-13
2,20,-22
3,4,-1
3,5,-7
3,6,-6
3,7,-4
3,8,-12
3,9,-2
3,10,-7
3,11,-10
3,12,-8
3,13,-12
3,14,-9
3,15,-16
3,16,-12
3,17,-4
3,18,-7
3,19,-10
3,20,-19
4,5,-6
4,6,-5
4,7,-3
4,8,-11
4,9,-1
4,10,-6
4,11,-9
4,12,-7
4,13,-11
4,14,-8
4,15,-15
4,16,-11
4,17,-3
4,18,-6
4,19,-9
4,20,-18
5,6,1
5,7,3
5,8,-5
5,9,5
5,10,0
5,11,-3
5,12,-1
5,13,-5
5,14,-2
5,15,-9
5,16,-5
5,17,3
5,18,0
5,19,-3
5,20,-12
6,7,2
6,8,-6
6,9,4
6,10,-1
6,11,-4
6,12,-2
6,13,-6
6,14,-3
6,15,-10
6,16,-6
6,17,2
6,18,-1
6,19,-4
6,20,-13
7,8,-8
7,9,2
7,10,-3
7,11,-6
7,12,-4
7,13,-8
7,14,-5
7,15,-12
7,16,-8
7,17,0
7,18,-3
7,19,-6
7,20,-15
8,9,10
8,10,5
8,11,2
8,12,4
8,13,0
8,14,3
8,15,-4
8,16,0
8,17,8
8,18,5
8,19,2
8,20,-7
9,10,-5
9,11,-8
9,12,-6
9,13,-10
9,14,-7
9,15,-14
9,16,-10
9,17,-2
9,18,-5
9,19,-8
9,20,-17
10,11,-3
10,12,-1
10,13,-5
10,14,-2
10,15,-9
10,16,-5
10,17,3
10,18,0
10,19,-3
10,20,-12
11,12,2
11,13,-2
11,14,1
11,15,-6
11,16,-2
11,17,6
11,18,3
11,19,0
11,20,-9
12,13,-4
12,14,-1
12,15,-8
12,16,-4
12,17,4
12,18,1
12,19,-2
12,20,-11
13,14,3
13,15,-4
13,16,0
13,17,8
13,18,5
13,19,2
13,20,-7
14,15,-7
14,16,-3
14,17,5
14,18,2
14,19,-1
14,20,-10
15,16,4
15,17,12
15,18,9
15,19,6
15,20,-3
16,17,8
16,18,5
16,19,2
16,20,-7
17,18,-3
17,19,-6
17,20,-15
18,19,-3
18,20,-12
19,20,-9
