n1,n2,weight
12,13,-3.4836e+00
12,14,-7.3913e-03
12,15,-1.3055e+00
12,16,-6.9203e-01
12,17,-3.1331e+00
12,18,-8.5730e-01
12,19,-1.4699e+00
12,20,-1.1936e+00
13,1,-1.0107e+00
13,2,1.2187e+00
13,3,2.2979e+00
13,4,2.0983e+00
13,5,-7.5341e-01
13,6,3.5878e-02
13,7,2.1613e+00
13,8,-9.9387e-03
13,9,3.0433e+00
13,10,-8.0378e-01
13,11,3.6691e+00
13,12,1.0738e+00
13,14,-9.7373e-01
13,15,9.6725e-01
13,16,-7.4220e-01
13,17,-2.0780e+00
13,18,9.2886e-01
13,19,-1.0800e+00
13,20,1.9531e+00
14,1,1.3934e+00
14,2,5.3394e+00
14,3,-8.8240e-01
14,4,-1.4358e+00
14,5,1.5852e-01
14,6,2.4019e+00
14,7,2.5958e+00
14,8,1.1268e+00
14,9,4.0507e-02
14,10,2.0142e+00
14,11,-4.0240e-01
14,12,7.2384e-02
14,13,-3.1110e+00
14,15,-1.4189e+00
14,16,-2.6127e+00
14,17,5.2747e-01
14,18,-1.9651e+00
14,19,-3.1201e+00
14,20,1.5816e+00
15,1,2.4206e+00
15,2,4.2863e+00
15,3,2.9361e+00
15,4,3.4415e+00
15,5,2.0171e+00
15,6,1.2672e+00
15,7,2.0566e+00
15,8,2.3661e+00
15,9,1.2314e+00
15,10,2.2681e+00
15,11,5.0749e-01
15,12,3.9661e+00
15,13,-3.0715e-03
15,14,2.5647e+00
15,16,-2.8700e-01
15,17,7.1832e-01
15,18,-3.0116e-01
15,19,-2.2782e+00
15,20,6.6989e-01
16,1,2.0156e+00
16,2,4.9827e+00
16,3,1.1649e+00
16,4,4.3992e+00
16,5,1.6757e+00
16,6,5.0663e-01
16,7,3.1795e+00
16,8,1.0732e+00
16,9,7.8241e-01
16,10,-2.1145e-01
16,11,4.9969e-01
16,12,1.1768e+00
16,13,-1.7889e+00
16,14,4.3278e+00
16,15,2.2433e+00
16,17,8.1493e-01
16,18,1.2243e+00
16,19,-3.7146e+00
16,20,1.2326e-01
17,1,4.7475e+00
17,2,7.5398e+00
17,3,5.5976e+00
17,4,3.3726e+00
17,5,9.3728e-01
17,6,1.1354e+00
17,7,1.5202e+00
17,8,3.7999e+00
17,9,1.5997e+00
17,10,1.4062e+00
17,11,7.0474e-01
17,12,2.2719e+00
17,13,6.1378e-01
17,14,1.1365e+00
17,15,-2.1428e+00
17,16,-4.2708e-01
17,18,-5.2339e-01
17,19,-2.9011e+00
17,20,-4.2648e-01
18,1,1.8964e+00
18,2,2.5491e+00
18,3,2.0763e+00
18,4,-2.3389e-02
18,5,2.3504e+00
18,6,3.4191e+00
18,7,7.2215e-03
18,8,7.2919e-01
18,9,2.0970e-01
18,10,2.4657e-01
18,11,5.9940e-01
18,12,-1.3021e+00
18,13,1.4048e+00
18,14,-2.0403e+00
18,15,6.2591e-01
18,16,-3.0044e+00
18,17,-7.9255e-01
18,19,-1.0285e+00
18,20,-7.6947e-01
19,1,3.2694e+00
19,2,6.0904e+00
19,3,1.9752e+00
19,4,3.4032e+00
19,5,1.5341e+00
19,6,2.2212e+00
19,7,5.4821e+00
19,8,2.2051e+00
19,9,2.6170e+00
19,10,6.3194e-01
19,11,2.8167e+00
19,12,1.2850e+00
19,13,2.4659e-01
19,14,1.3237e+00
19,15,7.6747e-01
19,16,1.9429e+00
19,17,2.5237e+00
19,18,1.4659e+00
19,20,-6.6773e-01
20,1,3.5829e+00
20,2,6.0820e+00
20,3,5.3314e+00
20,4,3.2761e+00
