team,value
1,25849.492655999995
2,30349.732900999996
3,22924.843393000003
4,23012.84667699999
5,21136.146350999992
6,23731.99636899999
7,20058.609075999986
8,19788.23798600001
9,21705.372008
10,16784.671099
11,14470.436597999991
12,16211.635572000008
13,17643.810346
14,15992.443598000005
15,17970.71895599999
16,14154.460769000008
17,17138.543391000003
18,13150.273030999999
19,15658.948733000007
20,19994.196814999996
