team,value
1,97332.0
2,62682.0
3,93050.0
4,68342.0
5,62638.0
6,71593.0
7,75884.0
8,45552.0
9,68308.0
10,58895.0
11,72779.0
12,57817.0
13,78048.0
14,45809.0
15,54476.0
16,66008.0
17,50219.0
18,67109.0
19,71560.0
20,52228.0
