i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.5073118 1 93.0
2 0.14353934999999995 11 79.0
3 0.4529774499999999 3 76.0
4 0.1218151 12 73.0
5 0.15635939249999997 10 61.0
6 0.21484214999999998 8 60.0
7 0.29522203999999996 4 58.0
8 0.033440799999999965 19 55.0
9 0.4550256075 2 51.0
10 0.11151095499999998 13 51.0
11 0.26274566 6 49.0
12 0.1070937 15 49.0
13 0.2185798 7 49.0
14 0.0 20 47.0
15 0.08828145 17 46.0
16 0.18824244999999998 9 43.0
17 0.09075335000000001 16 43.0
18 0.10846859999999998 14 29.0
19 0.2691956 5 22.0
20 0.05500174499999999 18 20.0
