i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6837378000000001 1 100.0
2 0.25131904999999993 8 81.0
3 0.5063854 4 77.0
4 0.5431405499999999 3 75.0
5 0.38272934999999997 5 70.0
6 0.5480508999999999 2 63.0
7 0.030927549999999998 18 54.0
8 0.18900659999999997 12 49.0
9 0.18231020999999997 13 47.0
10 0.2145375 10 44.0
11 0.10144088999999998 15 44.0
12 0.26896954999999995 7 44.0
13 0.022979649999999907 19 42.0
14 0.25050001499999996 9 41.0
15 0.20641179999999998 11 40.0
16 0.17540519999999996 14 37.0
17 0.3345188499999999 6 36.0
18 0.09401544999999997 16 33.0
19 0.08099968499999999 17 33.0
20 0.0 20 31.0
