i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.5807293999999998 3 95.0
2 0.7613289999999998 1 91.0
3 0.5201486499999999 6 77.0
4 0.4450053999999999 8 72.0
5 0.5740443499999999 4 72.0
6 0.5378124999999998 5 64.0
7 0.5819979999999999 2 60.0
8 0.5193748999999999 7 57.0
9 0.1523102999999999 17 54.0
10 0.26430049999999994 15 54.0
11 0.3265531499999999 11 43.0
12 0.2925698499999999 14 41.0
13 0.3753718499999999 9 40.0
14 0.3036138999999999 12 40.0
15 0.32951654999999996 10 39.0
16 0.08853549999999993 19 39.0
17 0.14125029999999994 18 38.0
18 0.24361184999999996 16 35.0
19 0.0 20 25.0
20 0.29306404999999996 13 21.0
