i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.5420065000000001 1 84.0
2 0.07433388888888895 14 63.0
3 0.37934166666666674 3 55.0
4 0.34382677777777787 5 54.0
5 0.37925183333333345 4 54.0
6 0.42640950000000016 2 53.0
7 0.0 18 51.0
8 0.15562316666666673 11 49.0
9 0.11404644444444455 13 47.0
10 0.020758222222222344 16 43.0
11 0.2522612777777779 7 42.0
12 0.21231205555555566 8 41.0
13 0.1565007222222223 10 39.0
14 0.14220277777777784 12 36.0
15 0.3362887777777779 6 36.0
16 0.002496111111111171 17 33.0
17 0.173238888888889 9 31.0
18 0.050611388888889 15 22.0
