i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.41891679999999987 1 93.0
2 0.13844651499999994 14 79.0
3 0.3861478069999999 2 76.0
4 0.19605810999999992 12 73.0
5 0.23781946499999992 9 61.0
6 0.3209992999999999 4 60.0
7 0.28508814999999993 7 58.0
8 0.0 20 55.0
9 0.2961025999999999 6 51.0
10 0.19855449999999994 11 51.0
11 0.32083386299999994 5 49.0
12 0.11957130499999999 15 49.0
13 0.3408807499999999 3 49.0
14 0.024745000000000017 19 47.0
15 0.04831059999999998 18 46.0
16 0.23360694999999992 10 43.0
17 0.09472865 16 43.0
18 0.17144264999999995 13 29.0
19 0.27069013499999994 8 22.0
20 0.09294484999999994 17 20.0
