i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6790647500000001 1 93.0
2 0.3867653 5 80.0
3 0.38347879000000007 6 78.0
4 0.41256975 4 77.0
5 0.31552165000000004 8 58.0
6 0.24789875000000003 12 55.0
7 0.3250301 7 55.0
8 0.4311961 2 54.0
9 0.0 20 52.0
10 0.1533726900000001 16 51.0
11 0.28576406000000004 9 48.0
12 0.22456700000000002 13 47.0
13 0.11823130000000007 17 45.0
14 0.11180809999999997 18 41.0
15 0.43089855 3 38.0
16 0.253319 11 38.0
17 0.25399915 10 38.0
18 0.15342659999999997 15 37.0
19 0.057052749999999985 19 33.0
20 0.17961061 14 26.0
