i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.3055186550000001 6 95.0
2 0.5016148050000001 1 91.0
3 0.36260525500000007 2 77.0
4 0.35057180500000007 3 72.0
5 0.24059595500000006 7 72.0
6 0.33914715500000003 4 64.0
7 0.22146575500000007 8 60.0
8 0.326441305 5 57.0
9 0.06875460500000007 16 54.0
10 0.13041380500000005 11 54.0
11 0.12579365500000006 12 43.0
12 0.10245456000000007 15 41.0
13 0.12126720500000006 13 40.0
14 0.13305785500000006 9 40.0
15 0.061124955000000064 18 39.0
16 0.024867755000000047 19 39.0
17 0.06202775500000006 17 38.0
18 0.11652185500000005 14 35.0
19 0.0 20 25.0
20 0.13161140500000004 10 21.0
