i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.4496210888888891 1 84.0
2 0.048849866666666755 13 63.0
3 0.18221586666666678 5 55.0
4 0.3037969222222223 2 54.0
5 0.25264092222222234 4 54.0
6 0.2954856444444446 3 53.0
7 0.0017131444444445088 17 51.0
8 0.1138983111111112 8 49.0
9 0.166957588888889 6 47.0
10 0.021332811111111183 15 43.0
11 0.08648670000000008 11 42.0
12 0.05772408888888897 12 41.0
13 0.04221392222222228 14 39.0
14 0.007671544444444511 16 36.0
15 0.0 18 36.0
16 0.10144999444444452 10 33.0
17 0.13766846666666677 7 31.0
18 0.10727471666666674 9 22.0
