i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.3411066500000001 9 95.0
2 0.6314385000000002 1 91.0
3 0.4877561000000002 2 77.0
4 0.43899575000000013 4 72.0
5 0.3456729000000001 8 72.0
6 0.48557665000000017 3 64.0
7 0.36897600000000014 6 60.0
8 0.43644815000000015 5 57.0
9 0.19205440000000007 13 54.0
10 0.0 20 54.0
11 0.2750319000000001 10 43.0
12 0.35941365000000014 7 41.0
13 0.2473353500000001 11 40.0
14 0.23782200000000012 12 40.0
15 0.03870865000000018 18 39.0
16 0.1513721500000001 14 39.0
17 0.08811015000000011 17 38.0
18 0.13379090000000007 15 35.0
19 0.026312699999999994 19 25.0
20 0.10999045000000007 16 21.0
