i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.36971664499999995 1 84.0
2 0.15727870055555554 10 63.0
3 0.278950895 3 55.0
4 0.2762625338888889 4 54.0
5 0.24481492277777775 5 54.0
6 0.3408746727777777 2 53.0
7 0.0 18 51.0
8 0.1161914011111111 14 49.0
9 0.22030571722222222 7 47.0
10 0.13193436722222224 13 43.0
11 0.2443004783333333 6 42.0
12 0.13751908944444444 11 41.0
13 0.20978114499999997 8 39.0
14 0.091303145 16 36.0
15 0.1362697561111111 12 36.0
16 0.11143092277777779 15 33.0
17 0.16128870055555555 9 31.0
18 0.06462251722222227 17 22.0
