i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.35608149999999994 7 95.0
2 0.7028827499999998 1 91.0
3 0.44596291999999993 2 77.0
4 0.3736429999999999 6 72.0
5 0.30701769999999995 8 72.0
6 0.4179852649999999 3 64.0
7 0.37630704999999987 4 60.0
8 0.2603372499999999 9 57.0
9 0.37510999999999994 5 54.0
10 0.22381254499999997 10 54.0
11 0.14066565999999997 13 43.0
12 0.18631045499999993 11 41.0
13 0.07575784999999996 16 40.0
14 0.12131383499999998 14 40.0
15 0.17122951499999994 12 39.0
16 0.10206551999999997 15 39.0
17 0.025554035000000003 19 38.0
18 0.06949975 17 35.0
19 0.0 20 25.0
20 0.04845139999999995 18 21.0
