i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6494026099999999 1 93.0
2 0.27546373999999996 14 79.0
3 0.5505823199999998 4 76.0
4 0.3192641499999999 12 73.0
5 0.4269836299999999 10 61.0
6 0.5618839349999999 3 60.0
7 0.4883343899999999 7 58.0
8 0.0 20 55.0
9 0.5902885949999999 2 51.0
10 0.2966716399999999 13 51.0
11 0.4878463399999999 8 49.0
12 0.22195387999999996 15 49.0
13 0.5131700549999999 5 49.0
14 0.12458543999999994 19 47.0
15 0.14847350999999995 18 46.0
16 0.48299146999999987 9 43.0
17 0.19976428999999993 16 43.0
18 0.3486546749999999 11 29.0
19 0.5041392899999999 6 22.0
20 0.16691884 17 20.0
