i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.512275935 1 93.0
2 0.24268188500000007 7 80.0
3 0.31346934000000004 3 78.0
4 0.36641272 2 77.0
5 0.21950873500000007 8 58.0
6 0.20616022000000006 9 55.0
7 0.2790405060000001 6 55.0
8 0.27912643500000006 5 54.0
9 0.040260779000000024 19 52.0
10 0.16619783500000007 12 51.0
11 0.14209550000000007 13 48.0
12 0.19093000000000007 11 47.0
13 0.0 20 45.0
14 0.06696578500000006 17 41.0
15 0.28390213500000006 4 38.0
16 0.19198633500000006 10 38.0
17 0.10612684000000004 14 38.0
18 0.09536898500000004 15 37.0
19 0.04745934500000004 18 33.0
20 0.09373038500000004 16 26.0
