i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.7723812999999999 1 100.0
2 0.25631154999999994 8 81.0
3 0.5341253999999999 2 77.0
4 0.5228195999999998 3 75.0
5 0.3820556499999999 5 70.0
6 0.3216638499999999 7 63.0
7 0.05656409999999995 17 54.0
8 0.0730697499999999 16 49.0
9 0.18076094999999992 10 47.0
10 0.08875154999999993 15 44.0
11 0.05067629999999995 18 44.0
12 0.04120074999999998 19 44.0
13 0.13772874999999993 11 42.0
14 0.25174014999999994 9 41.0
15 0.11995014999999992 12 40.0
16 0.39545269999999993 4 37.0
17 0.32540329999999995 6 36.0
18 0.0 20 33.0
19 0.10949675 13 33.0
20 0.09634944999999995 14 31.0
