i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.32467594999999994 8 95.0
2 0.60691995 1 91.0
3 0.51333085 2 77.0
4 0.38747135 4 72.0
5 0.13304179700000002 12 72.0
6 0.36336395 6 64.0
7 0.40962325 3 60.0
8 0.334182165 7 57.0
9 0.36503544999999993 5 54.0
10 0.212087435 10 54.0
11 0.07500015000000002 18 43.0
12 0.10179435 14 41.0
13 0.0909874 15 40.0
14 0.07950414999999997 17 40.0
15 0.15434329999999996 11 39.0
16 0.08051526799999997 16 39.0
17 0.10693823499999998 13 38.0
18 0.0 20 35.0
19 0.021622699999999995 19 25.0
20 0.22726629999999998 9 21.0
