i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.584755388888889 1 84.0
2 0.0371002777777778 17 63.0
3 0.16525572222222226 8 55.0
4 0.28602496111111114 4 54.0
5 0.3648334222222223 2 54.0
6 0.35240511111111117 3 53.0
7 0.0 18 51.0
8 0.13341799444444447 10 49.0
9 0.20757215000000004 6 47.0
10 0.059556611111111143 16 43.0
11 0.1843329666666667 7 42.0
12 0.09941405555555557 13 41.0
13 0.0861860555555556 14 39.0
14 0.06459188888888892 15 36.0
15 0.11580183888888892 12 36.0
16 0.15549910000000006 9 33.0
17 0.2751765555555556 5 31.0
18 0.13312890000000002 11 22.0
