i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6972414299999999 1 100.0
2 0.29922912999999995 7 81.0
3 0.48292632999999996 3 77.0
4 0.4460173299999999 4 75.0
5 0.3549814244999999 6 70.0
6 0.5576935299999999 2 63.0
7 0.0 20 54.0
8 0.17895298499999998 12 49.0
9 0.24048439499999996 9 47.0
10 0.06655543000000003 17 44.0
11 0.19030971499999993 10 44.0
12 0.14003735999999994 15 44.0
13 0.15876133999999995 14 42.0
14 0.2849554799999999 8 41.0
15 0.04717048000000004 18 40.0
16 0.17959877999999996 11 37.0
17 0.38726317999999993 5 36.0
18 0.10074683549999996 16 33.0
19 0.17345171999999998 13 33.0
20 0.023293724999999987 19 31.0
