i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.2744462549999999 6 95.0
2 0.44744385499999983 1 91.0
3 0.38021936999999995 2 77.0
4 0.3130353899999999 3 72.0
5 0.20521926499999993 9 72.0
6 0.28427527499999994 5 64.0
7 0.2928517049999999 4 60.0
8 0.22212148499999995 7 57.0
9 0.20878890499999994 8 54.0
10 0.17773300499999994 10 54.0
11 0.06155250999999998 14 43.0
12 0.11347655499999995 11 41.0
13 0.052719274999999954 15 40.0
14 0.026298554999999973 18 40.0
15 0.07564570499999998 12 39.0
16 0.04934015499999997 16 39.0
17 0.041311054999999985 17 38.0
18 0.0 20 35.0
19 0.022130704999999945 19 25.0
20 0.07140707499999992 13 21.0
