i,j,fij
1,2,-2
1,3,-15
1,4,-20
1,5,-18
1,6,-27
1,7,-30
1,8,-33
1,9,-27
1,10,-35
1,11,-47
1,12,-41
1,13,-38
1,14,-46
1,15,-38
1,16,-45
1,17,-47
1,18,-47
1,19,-49
1,20,-61
2,3,-13
2,4,-18
2,5,-16
2,6,-25
2,7,-28
2,8,-31
2,9,-25
2,10,-33
2,11,-45
2,12,-39
2,13,-36
2,14,-44
2,15,-36
2,16,-43
2,17,-45
2,18,-45
2,19,-47
2,20,-59
3,4,-5
3,5,-3
3,6,-12
3,7,-15
3,8,-18
3,9,-12
3,10,-20
3,11,-32
3,12,-26
3,13,-23
3,14,-31
3,15,-23
3,16,-30
3,17,-32
3,18,-32
3,19,-34
3,20,-46
4,5,2
4,6,-7
4,7,-10
4,8,-13
4,9,-7
4,10,-15
4,11,-27
4,12,-21
4,13,-18
4,14,-26
4,15,-18
4,16,-25
4,17,-27
4,18,-27
4,19,-29
4,20,-41
5,6,-9
5,7,-12
5,8,-15
5,9,-9
5,10,-17
5,11,-29
5,12,-23
5,13,-20
5,14,-28
5,15,-20
5,16,-27
5,17,-29
5,18,-29
5,19,-31
5,20,-43
6,7,-3
6,8,-6
6,9,0
6,10,-8
6,11,-20
6,12,-14
6,13,-11
6,14,-19
6,15,-11
6,16,-18
6,17,-20
6,18,-20
6,19,-22
6,20,-34
7,8,-3
7,9,3
7,10,-5
7,11,-17
7,12,-11
7,13,-8
7,14,-16
7,15,-8
7,16,-15
7,17,-17
7,18,-17
7,19,-19
7,20,-31
8,9,6
8,10,-2
8,11,-14
8,12,-8
8,13,-5
8,14,-13
8,15,-5
8,16,-12
8,17,-14
8,18,-14
8,19,-16
8,20,-28
9,10,-8
9,11,-20
9,12,-14
9,13,-11
9,14,-19
9,15,-11
9,16,-18
9,17,-20
9,18,-20
9,19,-22
9,20,-34
10,11,-12
10,12,-6
10,13,-3
10,14,-11
10,15,-3
10,16,-10
10,17,-12
10,18,-12
10,19,-14
10,20,-26
11,12,6
11,13,9
11,14,1
11,15,9
11,16,2
11,17,0
11,18,0
11,19,-2
11,20,-14
12,13,3
12,14,-5
12,15,3
12,16,-4
12,17,-6
12,18,-6
12,19,-8
12,20,-20
13,14,-8
13,15,0
13,16,-7
13,17,-9
13,18,-9
13,19,-11
13,20,-23
14,15,8
14,16,1
14,17,-1
14,18,-1
14,19,-3
14,20,-15
15,16,-7
15,17,-9
15,18,-9
15,19,-11
15,20,-23
16,17,-2
16,18,-2
16,19,-4
16,20,-16
17,18,0
17,19,-2
17,20,-14
18,19,-2
18,20,-14
19,20,-12
