i,j,fij
1,2,-1
1,3,-18
1,4,-19
1,5,-18
1,6,-31
1,7,-30
1,8,-34
1,9,-34
1,10,-38
1,11,-48
1,12,-44
1,13,-52
1,14,-54
1,15,-46
1,16,-52
1,17,-56
1,18,-54
1,19,-60
1,20,-68
2,3,-17
2,4,-18
2,5,-17
2,6,-30
2,7,-29
2,8,-33
2,9,-33
2,10,-37
2,11,-47
2,12,-43
2,13,-51
2,14,-53
2,15,-45
2,16,-51
2,17,-55
2,18,-53
2,19,-59
2,20,-67
3,4,-1
3,5,0
3,6,-13
3,7,-12
3,8,-16
3,9,-16
3,10,-20
3,11,-30
3,12,-26
3,13,-34
3,14,-36
3,15,-28
3,16,-34
3,17,-38
3,18,-36
3,19,-42
3,20,-50
4,5,1
4,6,-12
4,7,-11
4,8,-15
4,9,-15
4,10,-19
4,11,-29
4,12,-25
4,13,-33
4,14,-35
4,15,-27
4,16,-33
4,17,-37
4,18,-35
4,19,-41
4,20,-49
5,6,-13
5,7,-12
5,8,-16
5,9,-16
5,10,-20
5,11,-30
5,12,-26
5,13,-34
5,14,-36
5,15,-28
5,16,-34
5,17,-38
5,18,-36
5,19,-42
5,20,-50
6,7,1
6,8,-3
6,9,-3
6,10,-7
6,11,-17
6,12,-13
6,13,-21
6,14,-23
6,15,-15
6,16,-21
6,17,-25
6,18,-23
6,19,-29
6,20,-37
7,8,-4
7,9,-4
7,10,-8
7,11,-18
7,12,-14
7,13,-22
7,14,-24
7,15,-16
7,16,-22
7,17,-26
7,18,-24
7,19,-30
7,20,-38
8,9,0
8,10,-4
8,11,-14
8,12,-10
8,13,-18
8,14,-20
8,15,-12
8,16,-18
8,17,-22
8,18,-20
8,19,-26
8,20,-34
9,10,-4
9,11,-14
9,12,-10
9,13,-18
9,14,-20
9,15,-12
9,16,-18
9,17,-22
9,18,-20
9,19,-26
9,20,-34
10,11,-10
10,12,-6
10,13,-14
10,14,-16
10,15,-8
10,16,-14
10,17,-18
10,18,-16
10,19,-22
10,20,-30
11,12,4
11,13,-4
11,14,-6
11,15,2
11,16,-4
11,17,-8
11,18,-6
11,19,-12
11,20,-20
12,13,-8
12,14,-10
12,15,-2
12,16,-8
12,17,-12
12,18,-10
12,19,-16
12,20,-24
13,14,-2
13,15,6
13,16,0
13,17,-4
13,18,-2
13,19,-8
13,20,-16
14,15,8
14,16,2
14,17,-2
14,18,0
14,19,-6
14,20,-14
15,16,-6
15,17,-10
15,18,-8
15,19,-14
15,20,-22
16,17,-4
16,18,-2
16,19,-8
16,20,-16
17,18,2
17,19,-4
17,20,-12
18,19,-6
18,20,-14
19,20,-8
