i,j,fij
1,2,1
1,3,-15
1,4,-17
1,5,-16
1,6,-24
1,7,-27
1,8,-33
1,9,-24
1,10,-29
1,11,-42
1,12,-35
1,13,-32
1,14,-40
1,15,-35
1,16,-40
1,17,-48
1,18,-44
1,19,-49
1,20,-55
2,3,-16
2,4,-18
2,5,-17
2,6,-25
2,7,-28
2,8,-34
2,9,-25
2,10,-30
2,11,-43
2,12,-36
2,13,-33
2,14,-41
2,15,-36
2,16,-41
2,17,-49
2,18,-45
2,19,-50
2,20,-56
3,4,-2
3,5,-1
3,6,-9
3,7,-12
3,8,-18
3,9,-9
3,10,-14
3,11,-27
3,12,-20
3,13,-17
3,14,-25
3,15,-20
3,16,-25
3,17,-33
3,18,-29
3,19,-34
3,20,-40
4,5,1
4,6,-7
4,7,-10
4,8,-16
4,9,-7
4,10,-12
4,11,-25
4,12,-18
4,13,-15
4,14,-23
4,15,-18
4,16,-23
4,17,-31
4,18,-27
4,19,-32
4,20,-38
5,6,-8
5,7,-11
5,8,-17
5,9,-8
5,10,-13
5,11,-26
5,12,-19
5,13,-16
5,14,-24
5,15,-19
5,16,-24
5,17,-32
5,18,-28
5,19,-33
5,20,-39
6,7,-3
6,8,-9
6,9,0
6,10,-5
6,11,-18
6,12,-11
6,13,-8
6,14,-16
6,15,-11
6,16,-16
6,17,-24
6,18,-20
6,19,-25
6,20,-31
7,8,-6
7,9,3
7,10,-2
7,11,-15
7,12,-8
7,13,-5
7,14,-13
7,15,-8
7,16,-13
7,17,-21
7,18,-17
7,19,-22
7,20,-28
8,9,9
8,10,4
8,11,-9
8,12,-2
8,13,1
8,14,-7
8,15,-2
8,16,-7
8,17,-15
8,18,-11
8,19,-16
8,20,-22
9,10,-5
9,11,-18
9,12,-11
9,13,-8
9,14,-16
9,15,-11
9,16,-16
9,17,-24
9,18,-20
9,19,-25
9,20,-31
10,11,-13
10,12,-6
10,13,-3
10,14,-11
10,15,-6
10,16,-11
10,17,-19
10,18,-15
10,19,-20
10,20,-26
11,12,7
11,13,10
11,14,2
11,15,7
11,16,2
11,17,-6
11,18,-2
11,19,-7
11,20,-13
12,13,3
12,14,-5
12,15,0
12,16,-5
12,17,-13
12,18,-9
12,19,-14
12,20,-20
13,14,-8
13,15,-3
13,16,-8
13,17,-16
13,18,-12
13,19,-17
13,20,-23
14,15,5
14,16,0
14,17,-8
14,18,-4
14,19,-9
14,20,-15
15,16,-5
15,17,-13
15,18,-9
15,19,-14
15,20,-20
16,17,-8
16,18,-4
16,19,-9
16,20,-15
17,18,4
17,19,-1
17,20,-7
18,19,-5
18,20,-11
19,20,-6
