i,j,fij
1,2,4
1,3,-1
1,4,2
1,5,-3
1,6,-12
1,7,-15
1,8,-14
1,9,-5
1,10,-13
1,11,-20
1,12,-22
1,13,-19
1,14,-11
1,15,-11
1,16,-16
1,17,-21
1,18,-19
1,19,-25
1,20,-31
2,3,-5
2,4,-2
2,5,-7
2,6,-16
2,7,-19
2,8,-18
2,9,-9
2,10,-17
2,11,-24
2,12,-26
2,13,-23
2,14,-15
2,15,-15
2,16,-20
2,17,-25
2,18,-23
2,19,-29
2,20,-35
3,4,3
3,5,-2
3,6,-11
3,7,-14
3,8,-13
3,9,-4
3,10,-12
3,11,-19
3,12,-21
3,13,-18
3,14,-10
3,15,-10
3,16,-15
3,17,-20
3,18,-18
3,19,-24
3,20,-30
4,5,-5
4,6,-14
4,7,-17
4,8,-16
4,9,-7
4,10,-15
4,11,-22
4,12,-24
4,13,-21
4,14,-13
4,15,-13
4,16,-18
4,17,-23
4,18,-21
4,19,-27
4,20,-33
5,6,-9
5,7,-12
5,8,-11
5,9,-2
5,10,-10
5,11,-17
5,12,-19
5,13,-16
5,14,-8
5,15,-8
5,16,-13
5,17,-18
5,18,-16
5,19,-22
5,20,-28
6,7,-3
6,8,-2
6,9,7
6,10,-1
6,11,-8
6,12,-10
6,13,-7
6,14,1
6,15,1
6,16,-4
6,17,-9
6,18,-7
6,19,-13
6,20,-19
7,8,1
7,9,10
7,10,2
7,11,-5
7,12,-7
7,13,-4
7,14,4
7,15,4
7,16,-1
7,17,-6
7,18,-4
7,19,-10
7,20,-16
8,9,9
8,10,1
8,11,-6
8,12,-8
8,13,-5
8,14,3
8,15,3
8,16,-2
8,17,-7
8,18,-5
8,19,-11
8,20,-17
9,10,-8
9,11,-15
9,12,-17
9,13,-14
9,14,-6
9,15,-6
9,16,-11
9,17,-16
9,18,-14
9,19,-20
9,20,-26
10,11,-7
10,12,-9
10,13,-6
10,14,2
10,15,2
10,16,-3
10,17,-8
10,18,-6
10,19,-12
10,20,-18
11,12,-2
11,13,1
11,14,9
11,15,9
11,16,4
11,17,-1
11,18,1
11,19,-5
11,20,-11
12,13,3
12,14,11
12,15,11
12,16,6
12,17,1
12,18,3
12,19,-3
12,20,-9
13,14,8
13,15,8
13,16,3
13,17,-2
13,18,0
13,19,-6
13,20,-12
14,15,0
14,16,-5
14,17,-10
14,18,-8
14,19,-14
14,20,-20
15,16,-5
15,17,-10
15,18,-8
15,19,-14
15,20,-20
16,17,-5
16,18,-3
16,19,-9
16,20,-15
17,18,2
17,19,-4
17,20,-10
18,19,-6
18,20,-12
19,20,-6
