i,j,fij
1,2,1
1,3,-12
1,4,-10
1,5,-7
1,6,-22
1,7,-23
1,8,-25
1,9,-19
1,10,-24
1,11,-31
1,12,-32
1,13,-24
1,14,-31
1,15,-26
1,16,-33
1,17,-37
1,18,-35
1,19,-40
1,20,-46
2,3,-13
2,4,-11
2,5,-8
2,6,-23
2,7,-24
2,8,-26
2,9,-20
2,10,-25
2,11,-32
2,12,-33
2,13,-25
2,14,-32
2,15,-27
2,16,-34
2,17,-38
2,18,-36
2,19,-41
2,20,-47
3,4,2
3,5,5
3,6,-10
3,7,-11
3,8,-13
3,9,-7
3,10,-12
3,11,-19
3,12,-20
3,13,-12
3,14,-19
3,15,-14
3,16,-21
3,17,-25
3,18,-23
3,19,-28
3,20,-34
4,5,3
4,6,-12
4,7,-13
4,8,-15
4,9,-9
4,10,-14
4,11,-21
4,12,-22
4,13,-14
4,14,-21
4,15,-16
4,16,-23
4,17,-27
4,18,-25
4,19,-30
4,20,-36
5,6,-15
5,7,-16
5,8,-18
5,9,-12
5,10,-17
5,11,-24
5,12,-25
5,13,-17
5,14,-24
5,15,-19
5,16,-26
5,17,-30
5,18,-28
5,19,-33
5,20,-39
6,7,-1
6,8,-3
6,9,3
6,10,-2
6,11,-9
6,12,-10
6,13,-2
6,14,-9
6,15,-4
6,16,-11
6,17,-15
6,18,-13
6,19,-18
6,20,-24
7,8,-2
7,9,4
7,10,-1
7,11,-8
7,12,-9
7,13,-1
7,14,-8
7,15,-3
7,16,-10
7,17,-14
7,18,-12
7,19,-17
7,20,-23
8,9,6
8,10,1
8,11,-6
8,12,-7
8,13,1
8,14,-6
8,15,-1
8,16,-8
8,17,-12
8,18,-10
8,19,-15
8,20,-21
9,10,-5
9,11,-12
9,12,-13
9,13,-5
9,14,-12
9,15,-7
9,16,-14
9,17,-18
9,18,-16
9,19,-21
9,20,-27
10,11,-7
10,12,-8
10,13,0
10,14,-7
10,15,-2
10,16,-9
10,17,-13
10,18,-11
10,19,-16
10,20,-22
11,12,-1
11,13,7
11,14,0
11,15,5
11,16,-2
11,17,-6
11,18,-4
11,19,-9
11,20,-15
12,13,8
12,14,1
12,15,6
12,16,-1
12,17,-5
12,18,-3
12,19,-8
12,20,-14
13,14,-7
13,15,-2
13,16,-9
13,17,-13
13,18,-11
13,19,-16
13,20,-22
14,15,5
14,16,-2
14,17,-6
14,18,-4
14,19,-9
14,20,-15
15,16,-7
15,17,-11
15,18,-9
15,19,-14
15,20,-20
16,17,-4
16,18,-2
16,19,-7
16,20,-13
17,18,2
17,19,-3
17,20,-9
18,19,-5
18,20,-11
19,20,-6
