i,j,fij
1,2,0
1,3,-6
1,4,3
1,5,-2
1,6,-3
1,7,-6
1,8,-6
1,9,-3
1,10,-2
1,11,-8
1,12,-8
1,13,-6
1,14,-6
1,15,-5
1,16,-6
1,17,-5
1,18,-8
1,19,-8
1,20,-9
2,3,-6
2,4,3
2,5,-2
2,6,-3
2,7,-6
2,8,-6
2,9,-3
2,10,-2
2,11,-8
2,12,-8
2,13,-6
2,14,-6
2,15,-5
2,16,-6
2,17,-5
2,18,-8
2,19,-8
2,20,-9
3,4,9
3,5,4
3,6,3
3,7,0
3,8,0
3,9,3
3,10,4
3,11,-2
3,12,-2
3,13,0
3,14,0
3,15,1
3,16,0
3,17,1
3,18,-2
3,19,-2
3,20,-3
4,5,-5
4,6,-6
4,7,-9
4,8,-9
4,9,-6
4,10,-5
4,11,-11
4,12,-11
4,13,-9
4,14,-9
4,15,-8
4,16,-9
4,17,-8
4,18,-11
4,19,-11
4,20,-12
5,6,-1
5,7,-4
5,8,-4
5,9,-1
5,10,0
5,11,-6
5,12,-6
5,13,-4
5,14,-4
5,15,-3
5,16,-4
5,17,-3
5,18,-6
5,19,-6
5,20,-7
6,7,-3
6,8,-3
6,9,0
6,10,1
6,11,-5
6,12,-5
6,13,-3
6,14,-3
6,15,-2
6,16,-3
6,17,-2
6,18,-5
6,19,-5
6,20,-6
7,8,0
7,9,3
7,10,4
7,11,-2
7,12,-2
7,13,0
7,14,0
7,15,1
7,16,0
7,17,1
7,18,-2
7,19,-2
7,20,-3
8,9,3
8,10,4
8,11,-2
8,12,-2
8,13,0
8,14,0
8,15,1
8,16,0
8,17,1
8,18,-2
8,19,-2
8,20,-3
9,10,1
9,11,-5
9,12,-5
9,13,-3
9,14,-3
9,15,-2
9,16,-3
9,17,-2
9,18,-5
9,19,-5
9,20,-6
10,11,-6
10,12,-6
10,13,-4
10,14,-4
10,15,-3
10,16,-4
10,17,-3
10,18,-6
10,19,-6
10,20,-7
11,12,0
11,13,2
11,14,2
11,15,3
11,16,2
11,17,3
11,18,0
11,19,0
11,20,-1
12,13,2
12,14,2
12,15,3
12,16,2
12,17,3
12,18,0
12,19,0
12,20,-1
13,14,0
13,15,1
13,16,0
13,17,1
13,18,-2
13,19,-2
13,20,-3
14,15,1
14,16,0
14,17,1
14,18,-2
14,19,-2
14,20,-3
15,16,-1
15,17,0
15,18,-3
15,19,-3
15,20,-4
16,17,1
16,18,-2
16,19,-2
16,20,-3
17,18,-3
17,19,-3
17,20,-4
18,19,0
18,20,-1
19,20,-1
