i,j,fij
1,2,0
1,3,-6
1,4,-2
1,5,-5
1,6,-6
1,7,-10
1,8,-11
1,9,-7
1,10,-7
1,11,-14
1,12,-16
1,13,-12
1,14,-10
1,15,-10
1,16,-12
1,17,-14
1,18,-14
1,19,-16
1,20,-18
2,3,-6
2,4,-2
2,5,-5
2,6,-6
2,7,-10
2,8,-11
2,9,-7
2,10,-7
2,11,-14
2,12,-16
2,13,-12
2,14,-10
2,15,-10
2,16,-12
2,17,-14
2,18,-14
2,19,-16
2,20,-18
3,4,4
3,5,1
3,6,0
3,7,-4
3,8,-5
3,9,-1
3,10,-1
3,11,-8
3,12,-10
3,13,-6
3,14,-4
3,15,-4
3,16,-6
3,17,-8
3,18,-8
3,19,-10
3,20,-12
4,5,-3
4,6,-4
4,7,-8
4,8,-9
4,9,-5
4,10,-5
4,11,-12
4,12,-14
4,13,-10
4,14,-8
4,15,-8
4,16,-10
4,17,-12
4,18,-12
4,19,-14
4,20,-16
5,6,-1
5,7,-5
5,8,-6
5,9,-2
5,10,-2
5,11,-9
5,12,-11
5,13,-7
5,14,-5
5,15,-5
5,16,-7
5,17,-9
5,18,-9
5,19,-11
5,20,-13
6,7,-4
6,8,-5
6,9,-1
6,10,-1
6,11,-8
6,12,-10
6,13,-6
6,14,-4
6,15,-4
6,16,-6
6,17,-8
6,18,-8
6,19,-10
6,20,-12
7,8,-1
7,9,3
7,10,3
7,11,-4
7,12,-6
7,13,-2
7,14,0
7,15,0
7,16,-2
7,17,-4
7,18,-4
7,19,-6
7,20,-8
8,9,4
8,10,4
8,11,-3
8,12,-5
8,13,-1
8,14,1
8,15,1
8,16,-1
8,17,-3
8,18,-3
8,19,-5
8,20,-7
9,10,0
9,11,-7
9,12,-9
9,13,-5
9,14,-3
9,15,-3
9,16,-5
9,17,-7
9,18,-7
9,19,-9
9,20,-11
10,11,-7
10,12,-9
10,13,-5
10,14,-3
10,15,-3
10,16,-5
10,17,-7
10,18,-7
10,19,-9
10,20,-11
11,12,-2
11,13,2
11,14,4
11,15,4
11,16,2
11,17,0
11,18,0
11,19,-2
11,20,-4
12,13,4
12,14,6
12,15,6
12,16,4
12,17,2
12,18,2
12,19,0
12,20,-2
13,14,2
13,15,2
13,16,0
13,17,-2
13,18,-2
13,19,-4
13,20,-6
14,15,0
14,16,-2
14,17,-4
14,18,-4
14,19,-6
14,20,-8
15,16,-2
15,17,-4
15,18,-4
15,19,-6
15,20,-8
16,17,-2
16,18,-2
16,19,-4
16,20,-6
17,18,0
17,19,-2
17,20,-4
18,19,-2
18,20,-4
19,20,-2
