i w_i r_i
1 3.6733919999999998 20
2 0.0 10
3 2.175087 1
4 2.7343012 19
5 2.538113 17
6 2.8893605 15
7 2.256335 6
8 2.4185715 4
9 1.6925636499999999 5
10 3.800045 13
11 0.5023774999999999 8
12 1.9988887499999999 7
13 2.4734165 3
14 1.7278370499999998 16
15 3.234099 12
16 2.0216915 14
17 3.4174445 9
18 1.0151118499999996 18
19 3.5956210000000004 11
20 5.0773035 2
