i w_i r_i
1 2.1396984999999997 7
2 5.703280499999999 1
3 3.4123816849999997 3
4 2.6018170499999997 5
5 2.4991019999999997 6
6 3.120226615 4
7 3.647963 2
8 2.12086565 9
9 2.1237755 8
10 1.5056964999999998 11
11 1.3575128499999995 12
12 2.0735482499999995 10
13 1.3459074999999996 13
14 0.5834649999999997 16
15 0.9165614999999997 14
16 0.19560949999999955 19
17 0.4332874999999998 18
18 0.6054724999999996 15
19 0.0 20
20 0.5792983999999997 17
