i w_i r_i
1 8.629300000071218 2
2 0.0 20
3 7.312099999997093 3
4 5.82099999999496 8
5 4.018799999994962 10
6 5.823099999993586 7
7 3.555699999994963 12
8 0.19440000001701918 18
9 9.314899999999628 1
10 0.018599999999999284 19
11 5.584999999997096 9
12 2.090699999983283 16
13 6.657399999994958 5
14 3.3465999999799445 13
15 1.0184000000039966 17
16 3.962999999994962 11
17 2.8360999999832837 15
18 5.845499999999354 6
19 6.966499999993585 4
20 3.1507999999832808 14
