i w_i r_i
1 11.4335935 1
2 3.073535 14
3 10.394638500000003 2
4 4.72324495 11
5 5.3220475 9
6 8.044256500000001 5
7 7.091793000000001 7
8 0.0 20
9 6.27725 8
10 3.7865100000000003 12
11 8.133525 4
12 2.9537035000000005 15
13 8.566171500000001 3
14 0.3382879999999986 19
15 1.7772989999999993 16
16 4.7234765 10
17 1.4301694999999994 18
18 3.7651340500000003 13
19 7.686015000000001 6
20 1.505659 17
