i w_i r_i
1 5.734901999999998 1
2 3.5612247999999993 3
3 3.268405499999999 7
4 4.090479964999999 2
5 3.3225964349999995 6
6 3.3400609499999994 5
7 2.6987249999999996 11
8 3.0687720999999994 9
9 2.4260129499999996 13
10 3.0322297999999996 10
11 1.7946544999999996 17
12 3.0951747999999992 8
13 0.0 20
14 1.8165824999999995 16
15 3.4904164999999994 4
16 2.3617870499999993 14
17 1.6015399999999997 19
18 1.9192624499999995 15
19 1.6636671999999997 18
20 2.6263754999999995 12
