i w_i r_i
1 17.09250000000138 11
2 24.630400000000165 2
3 27.017499999999792 1
4 19.345399999999582 6
5 15.310700000000963 12
6 22.148500000000045 4
7 10.701200000000433 15
8 23.393999999999995 3
9 10.240300000000003 16
10 19.116499999999792 7
11 18.713499999999136 8
12 21.880799999999958 5
13 14.909600000000038 13
14 18.160699999999718 9
15 6.0663999999991844 17
16 5.7824000000010365 18
17 17.555299999999605 10
18 10.8376999999962 14
19 3.643299999999156 19
20 0.0 20
