i w_i r_i
1 1.5198521666666667 7
2 0.0 18
3 2.0589256666666667 4
4 2.0563767222222222 5
5 1.2310866111111112 10
6 1.3568715555555555 9
7 1.0218172222222224 14
8 0.678441227777778 15
9 2.4528316666666665 1
10 2.169306111111111 3
11 0.5420889444444446 16
12 2.437505555555555 2
13 2.0559238888888887 6
14 1.4380827777777778 8
15 0.14113599444444458 17
16 1.2046583333333334 11
17 1.1210444444444445 12
18 1.0909511111111112 13
