i w_i r_i
1 10.57282076987564 2
2 9.81999868487383 3
3 7.410316102630378 7
4 11.207007393727029 1
5 8.290344330415284 5
6 4.077266591814427 13
7 6.0456997756360416 11
8 6.954998684827428 9
9 1.6153331835969968 17
10 2.6161998876768036 15
11 2.768233520432043 14
12 2.278790521239067 16
13 5.577681266855582 12
14 8.261407393736057 6
15 6.99627045708959 8
16 6.53959988772702 10
17 0.0 18
18 8.539060272604612 4
