i w_i r_i
1 10.95000000107092 9
2 8.856100000000003 12
3 16.14699999981859 6
4 7.131699999856091 17
5 7.373799999856091 15
6 25.206000000015862 1
7 7.606399999856093 14
8 7.345299999323636 16
9 16.800499999734402 4
10 7.884500000086936 13
11 13.00860000009629 7
12 17.235500000015865 3
13 9.694699999756043 11
14 3.6230000002785587 19
15 20.56950000019765 2
16 12.760700001267086 8
17 16.429700000015867 5
18 4.233499999804689 18
19 9.734299999818592 10
20 0.0 20
