t,tau,pval
1,0.7473684210526316,3.0521052671846353e-07
2,0.5473684210526316,0.00048057549205802254
3,0.6421052631578947,2.506940245978939e-05
4,0.6631578947368422,1.1598461044767754e-05
5,0.7578947368421053,1.7957522777065333e-07
6,0.7894736842105264,3.2194648229462574e-08
7,0.7157894736842105,1.3420520081287795e-06
8,0.631578947368421,3.6222609144151624e-05
9,0.7263157894736842,8.334889271753901e-07
10,0.7894736842105264,3.2194648229462574e-08
11,0.7473684210526316,3.0521052671846353e-07
12,0.7789473684210527,5.840658297557008e-08
13,0.6631578947368422,1.1598461044767754e-05
14,0.7263157894736842,8.334889271753901e-07
15,0.7473684210526316,3.0521052671846353e-07
16,0.8315789473684211,2.2710573411630974e-09
17,0.7999999999999999,1.730999838319109e-08
18,0.8736842105263158,9.208481773908509e-11
19,0.7999999999999999,1.730999838319109e-08
20,0.8631578947368421,2.1870145045372028e-10
21,0.8315789473684211,2.2710573411630974e-09
22,0.8315789473684211,2.2710573411630974e-09
23,0.7999999999999999,1.730999838319109e-08
24,0.8421052631578948,1.0817964912497665e-09
25,0.8526315789473685,4.964599165690299e-10
26,0.8421052631578948,1.0817964912497665e-09
27,0.8736842105263158,9.208481773908509e-11
28,0.9052631578947369,4.956818630372238e-12
29,0.8947368421052632,1.395601297787034e-11
30,0.9368421052631579,1.3686946653867177e-13
31,0.9263157894736842,4.97267870195355e-13
32,0.9052631578947369,4.956818630372238e-12
33,0.9368421052631579,1.3686946653867177e-13
34,0.9157894736842106,1.637252132068114e-12
35,0.8842105263157894,3.687213940327633e-11
36,0.9157894736842106,1.637252132068114e-12
37,0.968421052631579,1.2487144939622356e-15
38,1.0,8.22063524662433e-19
