t,tau,pval
1,0.5263157894736842,0.0008408300763063621
2,0.45263157894736844,0.004748309856126978
3,0.4210526315789474,0.009056382412965046
4,0.5578947368421052,0.00035899561704050146
5,0.5789473684210527,0.00019531614824281216
6,0.5263157894736842,0.0008408300763063621
7,0.6000000000000001,0.00010251957630002948
8,0.5789473684210527,0.00019531614824281216
9,0.5789473684210527,0.00019531614824281216
10,0.6631578947368422,1.1598461044767754e-05
11,0.7368421052631579,5.089279304093134e-07
12,0.6842105263157895,5.104709679217094e-06
13,0.7368421052631579,5.089279304093134e-07
14,0.7473684210526316,3.0521052671846353e-07
15,0.7368421052631579,5.089279304093134e-07
16,0.7789473684210527,5.840658297557008e-08
17,0.8210526315789474,4.60794385894808e-09
18,0.7999999999999999,1.730999838319109e-08
19,0.8736842105263158,9.208481773908509e-11
20,0.7999999999999999,1.730999838319109e-08
21,0.7789473684210527,5.840658297557008e-08
22,0.7789473684210527,5.840658297557008e-08
23,0.7894736842105264,3.2194648229462574e-08
24,0.8421052631578948,1.0817964912497665e-09
25,0.8210526315789474,4.60794385894808e-09
26,0.8315789473684211,2.2710573411630974e-09
27,0.7999999999999999,1.730999838319109e-08
28,0.8210526315789474,4.60794385894808e-09
29,0.8315789473684211,2.2710573411630974e-09
30,0.8421052631578948,1.0817964912497665e-09
31,0.8315789473684211,2.2710573411630974e-09
32,0.8421052631578948,1.0817964912497665e-09
33,0.8421052631578948,1.0817964912497665e-09
34,0.9263157894736842,4.97267870195355e-13
35,0.9473684210526316,3.348593561359954e-14
36,0.9578947368421054,7.089475836688822e-15
37,0.968421052631579,1.2487144939622356e-15
38,1.0,8.22063524662433e-19
