i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.0680445 4 95.0
2 1.5080715000000002 1 91.0
3 0.9822975000000002 7 77.0
4 0.870182 8 72.0
5 1.1240535 2 72.0
6 1.0110675000000002 5 64.0
7 1.0688170000000001 3 60.0
8 1.0018715000000002 6 57.0
9 0.31843900000000014 17 54.0
10 0.5202430000000001 15 54.0
11 0.6227980000000001 11 43.0
12 0.5467390000000001 14 41.0
13 0.7445350000000002 9 40.0
14 0.5855105 12 40.0
15 0.6243045000000002 10 39.0
16 0.19047499999999984 19 39.0
17 0.2867405000000002 18 38.0
18 0.44611750000000006 16 35.0
19 0.0 20 25.0
20 0.5756330000000002 13 21.0
