i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.1341167500000002 1 100.0
2 0.4801334500000001 7 81.0
3 0.8262033200000001 3 77.0
4 0.8233017350000001 4 75.0
5 0.5695928450000001 6 70.0
6 0.8658995500000002 2 63.0
7 0.18278629999999998 13 54.0
8 0.31984966000000004 8 49.0
9 0.28754630000000003 10 47.0
10 0.00868229999999992 19 44.0
11 0.05176564999999994 18 44.0
12 0.2277576 11 44.0
13 0.1236786 15 42.0
14 0.2921807 9 41.0
15 0.18750679999999997 12 40.0
16 0.1494218999999999 14 37.0
17 0.5951222500000001 5 36.0
18 0.07092558999999998 17 33.0
19 0.11462169999999994 16 33.0
20 0.0 20 31.0
