i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.035171111111111 1 84.0
2 0.1585594444444445 14 63.0
3 0.6784894444444445 4 55.0
4 0.6390672222222222 5 54.0
5 0.6903194444444444 3 54.0
6 0.7719683333333334 2 53.0
7 0.0 18 51.0
8 0.306555 9 49.0
9 0.2102511111111111 13 47.0
10 0.05519111111111119 16 43.0
11 0.4578033333333333 7 42.0
12 0.4044522222222222 8 41.0
13 0.27447166666666667 11 39.0
14 0.2565488888888889 12 36.0
15 0.6049316666666666 6 36.0
16 0.00317722222222222 17 33.0
17 0.29322166666666666 10 31.0
18 0.10046111111111111 15 22.0
