i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.9812668499999997 1 100.0
2 0.7964736999999997 6 81.0
3 1.5022508499999998 2 77.0
4 1.3942828499999997 3 75.0
5 0.6872980499999998 7 70.0
6 1.2949453499999997 4 63.0
7 0.47404964999999977 11 54.0
8 0.3385487499999998 15 49.0
9 0.5384883499999998 9 47.0
10 0.0 20 44.0
11 0.33089334999999986 16 44.0
12 0.49057059999999975 10 44.0
13 0.3678883499999997 13 42.0
14 0.6545552499999997 8 41.0
15 0.18887959999999987 17 40.0
16 0.3528312499999998 14 37.0
17 0.9119451999999998 5 36.0
18 0.18143144999999983 18 33.0
19 0.3812661999999998 12 33.0
20 0.06348134999999977 19 31.0
