l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
80 2 14 -0.21712 -0.17793653333333342 -0.03918346666666668 1.1102230246251565e-16
81 3 14 -0.35365 -0.30639744444444456 -0.04725255555555555 5.551115123125783e-17
82 4 14 -1.6069 -0.9384510000000001 -0.668449 1.1102230246251565e-16
83 5 14 -0.99524 -0.4486910222222223 -0.5465489777777777 -5.551115123125783e-17
84 6 14 -0.73922 -0.6873432777777779 -0.051876722222222164 1.1102230246251565e-16
85 7 14 0.097693 -0.003983444444444539 0.10167644444444446 8.326672684688674e-17
86 8 14 -0.14338 -0.31660877777777785 0.1732287777777777 1.1102230246251565e-16
87 9 14 -0.12709 -0.29928344444444455 0.17219344444444443 1.1102230246251565e-16
88 10 14 0.089039 -0.006083277777777951 0.09512227777777778 1.6653345369377348e-16
89 11 14 -0.84909 -0.08807761111111115 -0.7610123888888888 -8.326672684688674e-17
90 12 14 -0.60001 0.12746916666666663 -0.7274791666666666 -1.1102230246251565e-16
91 13 14 0.63449 0.13573488888888896 0.49875511111111104 0.0
92 1 15 -1.0058 -0.9595572222222222 -0.04624277777777779 -1.1102230246251565e-16
93 2 15 -0.13748 -0.13838275555555563 0.0009027555555555233 1.1102230246251565e-16
94 3 15 -0.79601 -0.26684366666666676 -0.5291663333333333 5.551115123125783e-17
95 4 15 -0.4849 -0.8988972222222222 0.4139972222222221 1.1102230246251565e-16
96 5 15 -0.64778 -0.4091372444444445 -0.23864275555555556 5.551115123125783e-17
97 6 15 -1.4515 -0.6477895 -0.8037104999999999 -1.1102230246251565e-16
98 7 15 -0.25091 0.03557033333333326 -0.2864803333333333 0.0
99 8 15 -0.21426 -0.27705500000000005 0.06279499999999999 5.551115123125783e-17
100 9 15 -0.24362 -0.25972966666666675 0.016109666666666682 5.551115123125783e-17
101 10 15 -0.65048 0.03347049999999985 -0.6839504999999999 1.1102230246251565e-16
102 11 15 0.43095 -0.04852383333333335 0.4794738333333333 2.7755575615628914e-17
103 12 15 0.88724 0.16702294444444443 0.7202170555555554 2.220446049250313e-16
104 13 15 0.73442 0.17528866666666676 0.5591313333333332 0.0
105 14 15 0.22542 0.0395537777777778 0.18586622222222224 -2.7755575615628914e-17
106 1 16 -1.3836 -0.764568111111111 -0.6190318888888887 -2.220446049250313e-16
107 2 16 0.35357 0.05660635555555556 0.29696364444444445 -1.3877787807814457e-17
108 3 16 0.3776 -0.07185455555555556 0.44945455555555547 8.326672684688674e-17
109 4 16 -0.65055 -0.7039081111111111 0.053358111111111134 0.0
110 5 16 0.017124 -0.21414813333333332 0.23127213333333324 8.326672684688674e-17
111 6 16 -0.64354 -0.4528003888888889 -0.19073961111111107 -5.551115123125783e-17
112 7 16 0.43805 0.23055944444444443 0.2074905555555555 5.551115123125783e-17
113 8 16 0.4631 -0.08206588888888891 0.5451658888888888 8.326672684688674e-17
114 9 16 -0.78809 -0.06474055555555555 -0.7233494444444444 -2.7755575615628914e-17
115 10 16 0.42906 0.22845961111111102 0.20060038888888887 1.1102230246251565e-16
116 11 16 1.7019 0.14646527777777782 1.5554347222222222 -8.326672684688674e-17
117 12 16 0.11576 0.3620120555555556 -0.24625205555555554 -5.551115123125783e-17
118 13 16 -0.31127 0.37027777777777793 -0.6815477777777778 -1.6653345369377348e-16
119 14 16 -0.48944 0.23454288888888897 -0.7239828888888891 1.1102230246251565e-16
120 15 16 0.15925 0.19498911111111117 -0.03573911111111111 -5.551115123125783e-17
121 1 17 -1.1293 -0.7233663888888888 -0.4059336111111111 0.0
122 2 17 -0.097311 0.09780807777777781 -0.19511907777777776 -4.163336342344337e-17
123 3 17 0.40807 -0.030652833333333317 0.4387228333333333 2.0816681711721685e-17
124 4 17 -0.16463 -0.6627063888888889 0.49807638888888894 0.0
125 5 17 -0.022554 -0.1729464111111111 0.15039241111111112 -2.7755575615628914e-17
126 6 17 -1.4544 -0.41159866666666667 -1.0428013333333335 2.220446049250313e-16
127 7 17 1.1583 0.27176116666666666 0.8865388333333335 -5.551115123125783e-17
128 8 17 0.52777 -0.04086416666666666 0.5686341666666666 6.938893903907228e-17
129 9 17 0.55231 -0.0235388333333333 0.5758488333333333 1.3877787807814457e-17
130 10 17 0.19605 0.26966133333333325 -0.07361133333333333 5.551115123125783e-17
131 11 17 -0.15265 0.18766700000000008 -0.340317 -1.1102230246251565e-16
132 12 17 -0.63516 0.40321377777777784 -1.0383737777777775 -2.7755575615628914e-16
133 13 17 0.68909 0.41147950000000016 0.2776105 -1.6653345369377348e-16
134 14 17 -0.11635 0.2757446111111112 -0.3920946111111112 0.0
135 15 17 0.99648 0.2361908333333334 0.7602891666666667 -5.551115123125783e-17
136 16 17 0.48007 0.04120172222222225 0.43886827777777776 -1.3877787807814457e-17
137 1 18 -1.4468 -0.9195170555555555 -0.5272829444444445 -1.1102230246251565e-16
138 2 18 -0.1567 -0.09834258888888893 -0.058357411111111104 2.7755575615628914e-17
139 3 18 0.076168 -0.22680350000000005 0.3029715 5.551115123125783e-17
140 4 18 -0.92896 -0.8588570555555556 -0.07010294444444447 0.0
141 5 18 -0.96134 -0.3690970777777778 -0.5922429222222222 0.0
142 6 18 -0.27791 -0.6077493333333334 0.32983933333333326 1.1102230246251565e-16
143 7 18 0.621 0.07561049999999994 0.5453895 8.326672684688674e-17
144 8 18 -0.18557 -0.2370148333333334 0.05144483333333334 5.551115123125783e-17
145 9 18 -0.11125 -0.21968950000000004 0.10843949999999998 5.551115123125783e-17
146 10 18 0.16888 0.07351066666666653 0.09536933333333333 1.3877787807814457e-16
147 11 18 0.082225 -0.008483666666666667 0.09070866666666669 -1.3877787807814457e-17
148 12 18 1.0073 0.20706311111111111 0.800236888888889 -2.7755575615628914e-17
149 13 18 -0.53071 0.21532883333333344 -0.7460388333333332 -2.498001805406602e-16
150 14 18 -0.36349 0.07959394444444448 -0.4430839444444443 -1.3877787807814457e-16
151 15 18 -0.83421 0.04004016666666668 -0.8742501666666667 -2.7755575615628914e-17
152 16 18 -0.27472 -0.1549489444444445 -0.11977105555555555 2.7755575615628914e-17
153 17 18 0.91058 -0.19615066666666675 1.1067306666666665 1.6653345369377348e-16
