i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.8994020000000001 1 93.0
2 0.3061618550000002 14 79.0
3 0.8178150650000002 2 76.0
4 0.4331460950000002 12 73.0
5 0.5120477300000001 9 61.0
6 0.6828643500000002 4 60.0
7 0.6069234000000001 7 58.0
8 0.0 20 55.0
9 0.6423448500000002 6 51.0
10 0.43382380000000015 11 51.0
11 0.6819902800000002 5 49.0
12 0.2657760550000002 15 49.0
13 0.7263235000000001 3 49.0
14 0.06744060000000007 19 47.0
15 0.11153385000000005 18 46.0
16 0.5013731500000002 10 43.0
17 0.2163652500000001 16 43.0
18 0.3733989000000001 13 29.0
19 0.5782676700000001 8 22.0
20 0.21291860000000012 17 20.0
