i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.9635459666666668 1 84.0
2 0.11095113333333337 13 63.0
3 0.3822895777777779 5 55.0
4 0.6416090777777779 2 54.0
5 0.5297754111111113 4 54.0
6 0.620892688888889 3 53.0
7 0.012163244444444443 17 51.0
8 0.24308407777777788 8 49.0
9 0.3501509666666668 6 47.0
10 0.04986152222222229 15 43.0
11 0.18318274444444455 11 42.0
12 0.12402324444444449 12 41.0
13 0.08683591111111116 14 39.0
14 0.015253944444444556 16 36.0
15 0.0 18 36.0
16 0.21623674444444452 10 33.0
17 0.2857697111111112 7 31.0
18 0.2281524333333334 9 22.0
