i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.134845888888889 1 84.0
2 0.3136714222222224 10 63.0
3 0.4421323333333335 6 55.0
4 1.074185888888889 2 54.0
5 0.5844259111111112 4 54.0
6 0.8230781666666669 3 53.0
7 0.1397183333333335 15 51.0
8 0.4523436666666668 5 49.0
9 0.4350183333333335 7 47.0
10 0.1418181666666669 14 43.0
11 0.2238125000000001 11 42.0
12 0.008265722222222327 17 41.0
13 0.0 18 39.0
14 0.13573488888888896 16 36.0
15 0.17528866666666676 13 36.0
16 0.37027777777777793 9 33.0
17 0.41147950000000016 8 31.0
18 0.21532883333333344 12 22.0
