i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.32435205 11 93.0
2 0.032082449999999985 18 79.0
3 1.0913035500000001 1 76.0
4 0.28762950000000004 12 73.0
5 0.0 20 61.0
6 0.21773405000000007 14 60.0
7 0.35706550000000004 10 58.0
8 0.20168675000000003 15 55.0
9 0.9658425500000001 2 51.0
10 0.43907805 7 51.0
11 0.7504080000000001 3 49.0
12 0.56089795 5 49.0
13 0.50108025 6 49.0
14 0.03139520000000007 19 47.0
15 0.1996321500000001 16 46.0
16 0.5872079000000001 4 43.0
17 0.43863695 8 43.0
18 0.40445745000000005 9 29.0
19 0.2641519 13 22.0
20 0.1911788000000001 17 20.0
