i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.5559750000000001 5 93.0
2 0.20784300000000003 18 79.0
3 0.8814671500000001 1 76.0
4 0.45099950000000005 10 73.0
5 0.562915 4 61.0
6 0.3097255 14 60.0
7 0.5462120000000001 6 58.0
8 0.293231 15 55.0
9 0.7110395 3 51.0
10 0.4985310000000001 8 51.0
11 0.7596475 2 49.0
12 0.41687700000000005 11 49.0
13 0.37094085000000004 12 49.0
14 0.45505700000000004 9 47.0
15 0.22648650000000004 17 46.0
16 0.07167400000000007 19 43.0
17 0.5324430000000001 7 43.0
18 0.335538 13 29.0
19 0.2886575 16 22.0
20 0.0 20 20.0
