i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.8059103000000003 1 93.0
2 0.3549022000000002 7 80.0
3 0.5453457500000003 3 78.0
4 0.5729905500000002 2 77.0
5 0.32515010000000016 12 58.0
6 0.34332490000000015 9 55.0
7 0.5056993000000003 4 55.0
8 0.5011242500000002 5 54.0
9 0.08935090000000004 18 52.0
10 0.3301699000000002 10 51.0
11 0.3300724600000002 11 48.0
12 0.24262990000000015 13 47.0
13 0.0 20 45.0
14 0.14190240000000012 17 41.0
15 0.4718007500000002 6 38.0
16 0.34488875000000013 8 38.0
17 0.23941700000000016 14 38.0
18 0.15413729000000012 16 37.0
19 0.0709348500000001 19 33.0
20 0.2278634500000001 15 26.0
