i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.6796809000000001 9 95.0
2 1.3312325000000005 1 91.0
3 1.0047360000000003 2 77.0
4 0.9166260500000003 4 72.0
5 0.7198800000000002 8 72.0
6 0.9956020000000002 3 64.0
7 0.7427376000000001 6 60.0
8 0.9087120000000002 5 57.0
9 0.39323525 13 54.0
10 0.0 20 54.0
11 0.5397701000000001 10 43.0
12 0.7339022500000002 7 41.0
13 0.51424935 11 40.0
14 0.48650430000000006 12 40.0
15 0.10216339999999974 18 39.0
16 0.33544510000000005 14 39.0
17 0.19250049999999996 17 38.0
18 0.28473804999999996 15 35.0
19 0.0640284499999999 19 25.0
20 0.24207620000000007 16 21.0
