i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.68241 1 100.0
2 0.5322715 7 81.0
3 1.0241164999999999 4 77.0
4 1.349956 2 75.0
5 0.9939880000000001 5 70.0
6 1.1393564999999999 3 63.0
7 0.0774955000000001 19 54.0
8 0.15869400000000017 17 49.0
9 0.3245950000000001 11 47.0
10 0.42229150000000004 10 44.0
11 0.4410955000000001 8 44.0
12 0.17718600000000007 16 44.0
13 0.20717950000000007 15 42.0
14 0.5797140000000001 6 41.0
15 0.2717405 14 40.0
16 0.32216800000000007 12 37.0
17 0.4277915 9 36.0
18 0.1200215 18 33.0
19 0.0 20 33.0
20 0.2778590000000001 13 31.0
