i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.8398215499999999 2 93.0
2 0.23217650000000004 15 79.0
3 0.9065667500000003 1 76.0
4 0.5196742000000001 6 73.0
5 0.6834908000000002 3 61.0
6 0.5537126710000001 5 60.0
7 0.5102619250000001 7 58.0
8 0.0 20 55.0
9 0.38628005400000004 9 51.0
10 0.23058403500000005 16 51.0
11 0.4868240925000001 8 49.0
12 0.31573175 11 49.0
13 0.6047859000000002 4 49.0
14 0.03468045750000004 19 47.0
15 0.12766671000000002 17 46.0
16 0.30764055500000004 12 43.0
17 0.25311930000000005 14 43.0
18 0.26928930000000006 13 29.0
19 0.37767315000000007 10 22.0
20 0.06814530000000002 18 20.0
