i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.7798382999999999 2 93.0
2 0.1418079499999999 17 79.0
3 0.697662115 3 76.0
4 0.17474389999999998 14 73.0
5 0.16212349999999998 16 61.0
6 0.46038129999999994 7 60.0
7 0.5548517 5 58.0
8 0.35654034999999995 8 55.0
9 1.1861215599999997 1 51.0
10 0.34514609999999996 9 51.0
11 0.6340098899999999 4 49.0
12 0.12571519999999997 18 49.0
13 0.2969282 12 49.0
14 0.0 20 47.0
15 0.22730269999999994 13 46.0
16 0.3204127 11 43.0
17 0.16315969999999994 15 43.0
18 0.34495095 10 29.0
19 0.5482944999999999 6 22.0
20 0.04611338500000012 19 20.0
