i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.709814 3 93.0
2 0.5602849999999999 5 80.0
3 0.11312799999999995 18 78.0
4 0.7913414999999999 1 77.0
5 0.4907214999999999 8 58.0
6 0.5536224999999999 6 55.0
7 0.218201 15 55.0
8 0.17747249999999998 16 54.0
9 0.33211399999999996 14 52.0
10 0.7884279999999999 2 51.0
11 0.38749049999999996 10 48.0
12 0.09682299999999999 19 47.0
13 0.0 20 45.0
14 0.384333 11 41.0
15 0.5183024999999999 7 38.0
16 0.42404749999999997 9 38.0
17 0.5762164999999999 4 38.0
18 0.15199899999999997 17 37.0
19 0.36394699999999996 12 33.0
20 0.33866300000000005 13 26.0
