i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 1.0943875999999997 1 93.0
2 0.51721979 7 80.0
3 0.6590079999999998 3 78.0
4 0.7770100499999999 2 77.0
5 0.46456089999999994 8 58.0
6 0.4367766999999999 9 55.0
7 0.5972510749999999 4 55.0
8 0.5919615999999999 6 54.0
9 0.09353732499999995 19 52.0
10 0.35532174999999994 12 51.0
11 0.30959450999999993 13 48.0
12 0.40629247499999993 11 47.0
13 0.0 20 45.0
14 0.14910230000000002 17 41.0
15 0.5963035499999998 5 38.0
16 0.41001234999999997 10 38.0
17 0.22865085 14 38.0
18 0.19653439999999997 16 37.0
19 0.10847697499999998 18 33.0
20 0.19910079999999997 15 26.0
