i w[i]=w_i r[i]=r_i tr[i]=tr_i
1 0.7278522499999998 8 95.0
2 1.3530449999999996 1 91.0
3 1.1201054999999998 2 77.0
4 0.8469316499999997 4 72.0
5 0.30338754549999997 12 72.0
6 0.8017362999999997 5 64.0
7 0.9069875999999998 3 60.0
8 0.7373857599999998 7 57.0
9 0.7983298499999998 6 54.0
10 0.4753910399999999 10 54.0
11 0.17459165 18 43.0
12 0.2434438 13 41.0
13 0.20495585000000005 15 40.0
14 0.17621380000000003 17 40.0
15 0.3522663 11 39.0
16 0.19072130450000002 16 39.0
17 0.23584920000000004 14 38.0
18 0.0 20 35.0
19 0.07333600000000018 19 25.0
20 0.5027895999999998 9 21.0
